primary_label,filename,type,rating,duration,samplerate
barswa,barswa/XC113914.ogg,song,5.0,5,32000
barswa,barswa/XC129647.ogg,song,5.0,5,32000
barswa,barswa/XC132406.ogg,song,5.0,5,32000
barswa,barswa/XC133096.ogg,song,5.0,5,32000
barswa,barswa/XC133802.ogg,song,5.0,5,32000
barswa,barswa/XC134349.ogg,song,5.0,5,32000
barswa,barswa/XC135474.ogg,song,5.0,5,32000
barswa,barswa/XC139171.ogg,song,5.0,5,32000
barswa,barswa/XC141346.ogg,song,5.0,5,32000
barswa,barswa/XC141678.ogg,song,5.0,5,32000
barswa,barswa/XC142633.ogg,song,5.0,5,32000
barswa,barswa/XC142794.ogg,song,5.0,5,32000
barswa,barswa/XC144039.ogg,song,5.0,5,32000
barswa,barswa/XC144361.ogg,song,5.0,5,32000
barswa,barswa/XC145761.ogg,song,5.0,5,32000
barswa,barswa/XC146746.ogg,song,5.0,5,32000
barswa,barswa/XC147199.ogg,song,5.0,5,32000
barswa,barswa/XC148900.ogg,song,5.0,5,32000
barswa,barswa/XC169360.ogg,song,5.0,5,32000
barswa,barswa/XC171221.ogg,song,5.0,5,32000
barswa,barswa/XC171237.ogg,song,5.0,5,32000
barswa,barswa/XC171624.ogg,song,5.0,5,32000
barswa,barswa/XC176091.ogg,song,5.0,5,32000
barswa,barswa/XC176095.ogg,song,5.0,5,32000
barswa,barswa/XC176097.ogg,song,5.0,5,32000
barswa,barswa/XC177243.ogg,song,5.0,5,32000
barswa,barswa/XC178328.ogg,song,5.0,5,32000
barswa,barswa/XC179260.ogg,song,5.0,5,32000
barswa,barswa/XC179356.ogg,song,5.0,5,32000
barswa,barswa/XC182025.ogg,song,5.0,5,32000
barswa,barswa/XC183794.ogg,song,5.0,5,32000
barswa,barswa/XC184414.ogg,song,5.0,5,32000
barswa,barswa/XC184418.ogg,song,5.0,5,32000
barswa,barswa/XC185479.ogg,song,5.0,5,32000
barswa,barswa/XC186847.ogg,song,5.0,5,32000
barswa,barswa/XC187314.ogg,song,5.0,5,32000
barswa,barswa/XC187796.ogg,song,5.0,5,32000
barswa,barswa/XC188601.ogg,song,5.0,5,32000
barswa,barswa/XC190143.ogg,song,5.0,5,32000
barswa,barswa/XC191024.ogg,song,5.0,5,32000
barswa,barswa/XC191025.ogg,song,5.0,5,32000
barswa,barswa/XC191394.ogg,song,5.0,5,32000
barswa,barswa/XC192547.ogg,song,5.0,5,32000
barswa,barswa/XC192549.ogg,song,5.0,5,32000
barswa,barswa/XC192658.ogg,song,5.0,5,32000
barswa,barswa/XC193495.ogg,song,5.0,5,32000
barswa,barswa/XC193496.ogg,song,5.0,5,32000
barswa,barswa/XC193514.ogg,song,5.0,5,32000
barswa,barswa/XC194688.ogg,song,5.0,5,32000
barswa,barswa/XC206071.ogg,song,5.0,5,32000
barswa,barswa/XC208241.ogg,song,5.0,5,32000
barswa,barswa/XC210730.ogg,song,5.0,5,32000
barswa,barswa/XC211242.ogg,song,5.0,5,32000
barswa,barswa/XC225377.ogg,song,5.0,5,32000
barswa,barswa/XC234296.ogg,song,5.0,5,32000
barswa,barswa/XC239627.ogg,song,5.0,5,32000
barswa,barswa/XC247566.ogg,song,5.0,5,32000
barswa,barswa/XC248033.ogg,song,5.0,5,32000
barswa,barswa/XC248034.ogg,song,5.0,5,32000
barswa,barswa/XC252931.ogg,song,5.0,5,32000
barswa,barswa/XC253252.ogg,song,5.0,5,32000
barswa,barswa/XC253349.ogg,song,5.0,5,32000
barswa,barswa/XC253722.ogg,song,5.0,5,32000
barswa,barswa/XC253981.ogg,song,5.0,5,32000
barswa,barswa/XC254203.ogg,song,5.0,5,32000
barswa,barswa/XC256096.ogg,song,5.0,5,32000
barswa,barswa/XC256217.ogg,song,5.0,5,32000
barswa,barswa/XC256529.ogg,song,5.0,5,32000
barswa,barswa/XC263623.ogg,song,5.0,5,32000
barswa,barswa/XC267418.ogg,song,5.0,5,32000
barswa,barswa/XC267430.ogg,song,5.0,5,32000
barswa,barswa/XC267431.ogg,song,5.0,5,32000
barswa,barswa/XC267433.ogg,song,5.0,5,32000
barswa,barswa/XC267653.ogg,song,5.0,5,32000
barswa,barswa/XC267929.ogg,song,5.0,5,32000
barswa,barswa/XC268755.ogg,song,5.0,5,32000
barswa,barswa/XC268804.ogg,song,5.0,5,32000
barswa,barswa/XC269815.ogg,song,5.0,5,32000
